Title,Author,Stars,Price,URL
The Magic Of The Lost Temple**,Sudha Murty,4.6 out of 5 stars,₹151.00,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
"Think Straight: Change your thoughts, Change your life [Paperback] Foroux, Darius",Darius Foroux,4.2 out of 5 stars,₹127.00,https://www.amazon.in/Think-Straight-Change-your-thoughts/dp/0143452134/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,₹149.00,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
Arihant All In One Class 10th English Language and Literature for CBSE Exam 2024,Srishti Agarwal,4.3 out of 5 stars,₹350.00,https://www.amazon.in/Arihant-English-Language-Literature-Exam-2024/dp/9350106019/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
Oswaal CBSE Class 10 Social Science Question Bank (For 2024 Board Exams),Oswaal Editorial Board,4.4 out of 5 stars,₹448.00,https://www.amazon.in/Oswaal-Class-Social-Science-Question/dp/9356348901/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
"The Hidden Hindu Book 2 ""द हिडन हिंदू-2"" - अक्षत गुप्ता (Hindi Version of Hidden Hindu 2) - Akshat Gupta",Akshat Gupta,4.7 out of 5 stars,₹180.00,https://www.amazon.in/Hidden-Hindu-Book-%E0%A4%B9%E0%A4%BF%E0%A4%A1%E0%A4%A8-%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%82-2/dp/9355218842/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
"Disha 144 JEE Main Online (2023-2012) & Offline (2018-2002) Physics,Chemistry & Mathematics Chapter-wise+Topic-wise Previous Years Solved Papers 7th Edition NCERT Chapterwise PYQ Question Bank",Disha Experts,4.6 out of 5 stars,"₹1,203.00",https://www.amazon.in/2023-2012-Mathematics-Chapter-wise-Topic-wise-Chapterwise/dp/8196150164/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,₹387.00,https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET-JEE Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.4 out of 5 stars,₹567.00,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Chemistry/dp/9355555938/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,4.8 out of 5 stars,"₹1,585.00",https://www.amazon.in/Beyond-Story-10-Year-Record-BTS/dp/103503154X/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
Rich Dad Poor Dad ( Original & Complete) Hindi,Robert T. Kiyosaki,4.5 out of 5 stars,₹235.00,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",Maple Press,4.3 out of 5 stars,₹210.00,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4 out of 5 stars,₹149.00,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
Educart CBSE Class 10 Social Science Question Bank For 2024 Exam (NCERT based reference book),Digraj Singh Rajput,4.5 out of 5 stars,₹486.00,https://www.amazon.in/Educart-Social-Science-Question-reference/dp/9357032703/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
Technical Analysis Aur Candlestick Ki Pehchan - Guide To Technical Analysis & Candlesticks Hindi,Ravi Patel,3.8 out of 5 stars,₹240.00,https://www.amazon.in/Technical-Analysis-Aur-Candlestick-Pehchan/dp/B00OZUHBZI/ref=zg_bs_g_books_sccl_21/000-0000000-0000000?psc=1
101 Copy Coloring: Fun Activity Book For Children,Wonder House Books,4.5 out of 5 stars,₹149.00,https://www.amazon.in/101-Copy-Coloring-Activity-Children/dp/9389053137/ref=zg_bs_g_books_sccl_22/000-0000000-0000000?psc=1
Outlive: The Science and Art of Longevity,Peter Attia,4.6 out of 5 stars,₹419.00,https://www.amazon.in/Outlive-Science-Longevity-Peter-Attia/dp/1785044559/ref=zg_bs_g_books_sccl_23/000-0000000-0000000?psc=1
"The Laws of Human Nature [Paperback] Greene, Robert [Paperback] Greene, Robert",Robert Greene,4.6 out of 5 stars,₹492.00,https://www.amazon.in/Laws-Human-Nature-Export-TPB/dp/1781259194/ref=zg_bs_g_books_sccl_24/000-0000000-0000000?psc=1
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,₹99.00,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_books_sccl_25/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 1 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.5 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555075/ref=zg_bs_g_books_sccl_26/000-0000000-0000000?psc=1
The Bhagwat Gita : Symphony of the Spirit (Hindi),RR Varma,4.5 out of 5 stars,₹219.00,https://www.amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_g_books_sccl_27/000-0000000-0000000?psc=1
Grandparents' Bag of Stories [Paperback] Sudha Murty,Sudha Murty,4.7 out of 5 stars,₹151.00,https://www.amazon.in/Grandparents-Bag-Stories-Sudha-Murty/dp/0143451847/ref=zg_bs_g_books_sccl_28/000-0000000-0000000?psc=1
Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,₹406.25,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_books_sccl_29/000-0000000-0000000?psc=1
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,₹499.00,https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_g_books_sccl_30/000-0000000-0000000?psc=1
"Errorless 46 Previous Years IIT JEE Advanced (1978 - 2023) + JEE Main (2013 - 2023) PHYSICS, CHEMISTRY & MATHEMATICS Chapterwise & Topicwise Solved ... with 100% Detailed Solutions for JEE 2024",Disha Experts,4.7 out of 5 stars,"₹1,800.00",https://www.amazon.in/Errorless-Previous-Years-Advanced-1978/dp/9355646607/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
"MTG National Science Olympiad (NSO) Workbook for Class 6 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",ANIL AHLAWAT,4.6 out of 5 stars,₹85.00,https://www.amazon.in/National-Science-Olympiad-Workbook-Class/dp/9355554826/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 7 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.3 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555016/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,4.6 out of 5 stars,₹765.00,https://www.amazon.in/American-Prometheus-Triumph-Tragedy-Oppenheimer/dp/183895970X/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6 out of 5 stars,₹402.00,https://www.amazon.in/Concept-Physics-Part-1-2018-2019-Session/dp/8177091875/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
Think And Grow Rich - Hindi,Napoleon Hill,4.4 out of 5 stars,₹99.00,https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
"The Power of One Thought : Master Your Mind, Master Your Life",BK Shivani,4.8 out of 5 stars,₹197.00,https://www.amazon.in/Power-One-Thought-Master-Your/dp/9356993335/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.4 out of 5 stars,₹160.00,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
Trading Chart Pattern Book Hindi | Includes Candlestick & Breakout Patterns | Indicators & Risk Management |,Jagannath Patait,4.6 out of 5 stars,₹249.00,https://www.amazon.in/Candlestick-Breakout-Patterns-Indicators-Management/dp/B0BZ5LQFKP/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
